product_id,product_name,abc_class,stock_qty,forecast_30d,stock_available_days,clearance_strategy,advice_reason,priority_level
P0121,菜刀4号,C,343,3.0,3430.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0130,电饭煲内胆1号,C,1134,3.0,11340.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0134,电水壶底座1号,C,148,3.0,1480.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0122,砧板4号,C,422,3.0,4220.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0149,插线板4号,C,84,3.0,840.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0115,菜刀3号,C,175,3.0,1750.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0151,榨汁机刀头4号,C,289,3.0,2890.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0125,炒锅5号,C,1127,3.0,11270.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0108,汤锅2号,C,173,3.0,1730.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0138,风扇电机2号,C,658,3.0,6580.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0136,电饭煲内胆2号,C,235,3.0,2350.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0107,炒锅2号,C,362,3.0,3620.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0102,汤锅1号,C,165,3.0,1650.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0112,保温壶2号,C,193,3.0,1930.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0104,砧板1号,C,111,3.0,1110.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0105,饭盒1号,C,43,3.0,430.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0127,菜刀5号,C,77,3.0,770.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0140,电水壶底座2号,C,232,3.0,2320.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0147,净水器滤芯4号,C,100,3.0,1000.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0126,汤锅5号,C,649,3.0,6490.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0109,菜刀2号,C,555,3.0,5550.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0132,风扇电机1号,C,72,3.0,720.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0143,插线板3号,C,223,3.0,2230.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0139,榨汁机刀头2号,C,140,3.0,1400.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0106,保温壶1号,C,192,3.0,1920.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0116,砧板3号,C,152,3.0,1520.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0103,菜刀1号,C,239,3.0,2390.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0101,炒锅1号,C,607,3.0,6070.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0110,砧板2号,C,126,3.0,1260.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0150,风扇电机4号,C,685,3.0,6850.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0152,电水壶底座4号,C,147,3.0,1470.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0114,汤锅3号,C,1126,3.0,11260.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0142,电饭煲内胆3号,C,130,3.0,1300.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0137,插线板2号,C,145,3.0,1450.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0118,保温壶3号,C,953,3.0,9530.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0113,炒锅3号,C,900,3.0,9000.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0146,电水壶底座3号,C,833,3.0,8330.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
P0145,榨汁机刀头3号,C,122,3.0,1220.0,组合促销、乡镇网点定向铺货、降低后续采购,低贡献商品库存占用较高，建议加快周转,高
